,year,month,date_of_month,day_of_week,births
0,2000,1,1,6,9083
1,2000,1,2,7,8006
2,2000,1,3,1,11363
3,2000,1,4,2,13032
4,2000,1,5,3,12558
5,2000,1,6,4,12466
6,2000,1,7,5,12516
7,2000,1,8,6,8934
8,2000,1,9,7,7949
9,2000,1,10,1,11668
10,2000,1,11,2,12611
11,2000,1,12,3,12398
12,2000,1,13,4,11815
13,2000,1,14,5,12180
14,2000,1,15,6,8525
15,2000,1,16,7,7657
16,2000,1,17,1,10824
17,2000,1,18,2,12350
18,2000,1,19,3,12405
19,2000,1,20,4,12506
20,2000,1,21,5,11953
21,2000,1,22,6,8855
22,2000,1,23,7,7856
23,2000,1,24,1,11449
24,2000,1,25,2,12593
25,2000,1,26,3,12143
26,2000,1,27,4,12408
27,2000,1,28,5,11934
28,2000,1,29,6,8805
29,2000,1,30,7,7764
30,2000,1,31,1,11133
31,2000,2,1,2,12614
32,2000,2,2,3,12465
33,2000,2,3,4,12062
34,2000,2,4,5,12035
35,2000,2,5,6,8624
36,2000,2,6,7,7862
37,2000,2,7,1,11630
38,2000,2,8,2,12879
39,2000,2,9,3,12315
40,2000,2,10,4,12612
41,2000,2,11,5,12411
42,2000,2,12,6,8836
43,2000,2,13,7,7933
44,2000,2,14,1,12152
45,2000,2,15,2,13017
46,2000,2,16,3,12504
47,2000,2,17,4,12520
48,2000,2,18,5,12406
49,2000,2,19,6,8861
50,2000,2,20,7,7943
51,2000,2,21,1,10610
52,2000,2,22,2,12664
53,2000,2,23,3,12252
54,2000,2,24,4,12423
55,2000,2,25,5,12204
56,2000,2,26,6,9026
57,2000,2,27,7,7836
58,2000,2,28,1,11455
59,2000,2,29,2,11895
60,2000,3,1,3,12672
61,2000,3,2,4,12524
62,2000,3,3,5,12390
63,2000,3,4,6,9054
64,2000,3,5,7,7734
65,2000,3,6,1,11375
66,2000,3,7,2,12420
67,2000,3,8,3,12338
68,2000,3,9,4,12615
69,2000,3,10,5,12152
70,2000,3,11,6,8822
71,2000,3,12,7,7937
72,2000,3,13,1,11157
73,2000,3,14,2,12773
74,2000,3,15,3,12428
75,2000,3,16,4,12431
76,2000,3,17,5,12385
77,2000,3,18,6,8677
78,2000,3,19,7,7782
79,2000,3,20,1,11595
80,2000,3,21,2,12689
81,2000,3,22,3,12272
82,2000,3,23,4,12396
83,2000,3,24,5,12327
84,2000,3,25,6,9155
85,2000,3,26,7,7815
86,2000,3,27,1,11291
87,2000,3,28,2,12650
88,2000,3,29,3,12077
89,2000,3,30,4,12071
90,2000,3,31,5,11820
91,2000,4,1,6,8388
92,2000,4,2,7,7540
93,2000,4,3,1,11397
94,2000,4,4,2,12797
95,2000,4,5,3,12209
96,2000,4,6,4,12192
97,2000,4,7,5,12213
98,2000,4,8,6,8743
99,2000,4,9,7,7759
